Drug_ID	Drug	Y	Species
"CHEMBL1518"	"CCCc1cc(=O)[nH]c(=S)[nH]1"	40.89	"Homo sapiens"
"CHEMBL1363"	"COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1"	31.87	"Homo sapiens"
"CHEMBL32"	"COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12"	30.88	"Homo sapiens"
"CHEMBL1422"	"N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F"	23.19	"Homo sapiens"
"CHEMBL70"	"CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5"	20.83	"Homo sapiens"
"CHEMBL2011934"	"COc1ccc(-c2nc3c(NCCCN(C)C(=O)C4CCC4)c(Br)cnc3[nH]2)cc1"	99.78	"Homo sapiens"
"CHEMBL88"	"O=P1(N(CCCl)CCCl)NCCCO1"	20.08	"Homo sapiens"
"CHEMBL2062563"	"CC(=O)Nc1ccc2ccn(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1"	98.61	"Homo sapiens"
"CHEMBL1087398"	"C[C@H](Nc1nc(Nc2ncc(C#N)s2)cc(N2CCOCC2)n1)c1ccc(F)cn1"	94.06	"Homo sapiens"
"CHEMBL1818294"	"CN(C)CCN1CCN(c2cc(C(=O)NC[C@H]3CC[C@H](CNC(=O)OC(C)(C)C)CC3)c3ccccc3n2)CC1"	93.94	"Homo sapiens"
"CHEMBL1091678"	"CC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O"	64.54	"Homo sapiens"
"CHEMBL2058280"	"Nc1scc2c(C(=O)NC3CC3)nn(-c3ccc(F)cc3)c(=O)c12"	93.1	"Homo sapiens"
"CHEMBL2153435"	"CCNC(=O)C[C@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21"	93.1	"Homo sapiens"
"CHEMBL321590"	"O=C(NO)C1COC(c2ccc(F)c(C(F)(F)F)c2)=N1"	91.64	"Homo sapiens"
"CHEMBL638"	"C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F"	46.55	"Homo sapiens"
"CHEMBL1214"	"CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O"	45.41	"Homo sapiens"
"CHEMBL573"	"O=C(O)c1cccnc1"	44.84	"Homo sapiens"
"CHEMBL2348645"	"CNc1nc(C)c(-c2nc(Nc3cccc(N4CCCCC4)c3)ncc2C#N)s1"	99.81	"Homo sapiens"
"CHEMBL562308"	"O=C(CC12CC3CC(CC(C3)C1)C2)Nc1cccc2nc(NCCNCCO)ccc12"	95.43	"Homo sapiens"
"CHEMBL126"	"CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1"	22.79	"Homo sapiens"
"CHEMBL151592"	"Cc1cccc(C(N)=O)c1NC(=O)c1ccccc1"	55.16	"Homo sapiens"
"CHEMBL2144205"	"COc1cc2nc(-c3ccc(N4CCN(C)CC4)cc3)nc(NCCN3CCOCC3)c2cc1OC"	55.16	"Homo sapiens"
"CHEMBL107313"	"CCCc1cc(C2=N[C@@H](C(=O)NO)CO2)cc(OC)c1OC"	94.32	"Homo sapiens"
"CHEMBL1871428"	"Oc1ncc(NCc2ccccc2)c(O)n1"	36.53	"Homo sapiens"
"CHEMBL2179667"	"Cc1cccc(Oc2cc(CN3CCC[C@H](n4cc(C)c(=O)[nH]c4=O)C3)ccc2C(=O)O)c1"	96.17	"Homo sapiens"
"CHEMBL1598315"	"CNC(=O)c1snnc1-c1ccccc1"	43.7	"Homo sapiens"
"CHEMBL1491"	"CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl"	98.09	"Homo sapiens"
"CHEMBL481595"	"COc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3Cl)c2cc1NCCN1CCCCC1"	97.91	"Homo sapiens"
"CHEMBL1938681"	"O=C(c1ccc(-c2ccc(Cl)cc2)o1)N(Cc1ccccn1)c1ccc(N2CCNCC2)cc1"	97.32	"Homo sapiens"
"CHEMBL1489611"	"Cc1cc(C)cc(-c2nnc(SCC(=O)N3CCN(C(=O)c4ccco4)CC3)o2)c1"	96.79	"Homo sapiens"
"CHEMBL1770469"	"CSCCC(NC(=O)c1cnccn1)c1nc2ccccc2[nH]1"	60.22	"Homo sapiens"
"CHEMBL1950846"	"CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(S(=O)(=O)c2ccccc2)C1)C(C)(C)C"	59.11	"Homo sapiens"
"CHEMBL1963462"	"C[C@@](C(=O)OC1CC[N+](C)(C)CC1)(c1ccccc1)C1CCCC1"	57.99	"Homo sapiens"
"CHEMBL2326523"	"Cc1ccc(C(=O)N(CCCN)[C@H](c2nc3cc(Cl)ccc3c(=O)n2Cc2ccccc2)C(C)C)cc1"	99.19	"Homo sapiens"
"CHEMBL86"	"CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC"	29.9	"Homo sapiens"
"CHEMBL2170979"	"CC(C)N(CCCNC(=O)OCc1ccccc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O"	66.1	"Homo sapiens"
"CHEMBL1779512"	"COC[C@@H](O)Cn1c(=O)cnn(-c2ccc(Cl)c(C(=O)NCC3(O)CCCCCC3)c2)c1=O"	41.45	"Homo sapiens"
"CHEMBL473"	"CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1"	66.1	"Homo sapiens"
"CHEMBL589543"	"COc1ccc(C[C@H](N)C(=O)N[C@@H](Cc2ccccc2C)C(N)=O)cc1"	64.01	"Homo sapiens"
"CHEMBL267894"	"CCC1(CCC(C)C)C(=O)N=C(O)NC1=O"	60.77	"Homo sapiens"
"CHEMBL1951183"	"COc1cc(OC)c(S(=O)(=O)NCc2ccccc2N2CCC(CO)CC2)cc1NC(=O)CCC(=O)O"	59.66	"Homo sapiens"
"CHEMBL2178384"	"Cc1ncc(C(N)=S)nc1-c1ccc([C@H]2CC[C@H](CC(=O)O)CC2)cc1"	97.2	"Homo sapiens"
"CHEMBL213854"	"Cc1ccc2c(c1)c(-c1ccnc3c(F)cccc13)c(C)n2CC(=O)O"	99.1	"Homo sapiens"
"CHEMBL1921917"	"C[C@@](C(=O)O[C@H]1C[N+]2(CCCc3ccncc3)CCC1CC2)(c1ccccc1)N1CCCCC1"	51.73	"Homo sapiens"
"CHEMBL295467"	"CNCCC(Oc1ccccc1OC)c1ccccc1"	51.73	"Homo sapiens"
"CHEMBL361812"	"O=C(O)CCn1c2c(c3ccccc31)C[C@H](NS(=O)(=O)c1ccc(F)cc1)CC2"	97.26	"Homo sapiens"
"CHEMBL152640"	"Cc1cc(C)c(C)c(Cn2ccc3c(/C=N/NC(=O)c4ccc(O)c(C#N)c4)cccc32)c1C"	96.0	"Homo sapiens"
"CHEMBL57"	"Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1"	44.27	"Homo sapiens"
"CHEMBL2087433"	"COc1cc(C)c(S(=O)(=O)N(C)CCOCC(=O)N2CCC(C3CCN(C)CC3)CC2)c(C)c1"	51.73	"Homo sapiens"
"CHEMBL423"	"CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1"	27.55	"Homo sapiens"
"CHEMBL174107"	"CSc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1"	33.39	"Homo sapiens"
"CHEMBL1082376"	"CCCCCCc1nc2c(N)nc3ccccc3c2n1Cc1ccccc1"	99.64	"Homo sapiens"
"CHEMBL1900528"	"C[N+]1(C)[C@H]2C[C@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@@H]1[C@H]1O[C@@H]21"	47.7	"Homo sapiens"
"CHEMBL2178952"	"NC(=O)c1cncc(-c2ccc([C@H]3CC[C@H](CC(=O)O)CC3)cc2)n1"	96.5	"Homo sapiens"
"CHEMBL213495"	"Cc1ccc2c(c1)c(-c1ccnc3c(C#N)cccc13)c(C)n2CC(=O)O"	98.29	"Homo sapiens"
"CHEMBL2181753"	"CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)NCc1ccccc1"	98.29	"Homo sapiens"
"CHEMBL2179291"	"COc1ccc(Oc2cccc(CN3CCCC(n4cc(C)c(=O)[nH]c4=O)C3)c2)cc1"	98.21	"Homo sapiens"
"CHEMBL1231"	"CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1"	97.07	"Homo sapiens"
"CHEMBL2062579"	"CS(=O)(=O)Cc1ccc2ccn(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1"	98.21	"Homo sapiens"
"CHEMBL2164850"	"O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)[C@H](Cc1ccccc1)NC1(c2ccccn2)CC1"	97.13	"Homo sapiens"
"CHEMBL2179271"	"CC[C@H](c1ccc(C(=O)O)c(Oc2cccc(Cl)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1"	98.21	"Homo sapiens"
"CHEMBL1689119"	"C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c1ccccc1"	97.26	"Homo sapiens"
"CHEMBL595134"	"N#CC1=C2C(=NC1=O)c1cccc3c(N4CCSCC4)ccc2c13"	98.61	"Homo sapiens"
"CHEMBL2110732"	"COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1"	98.21	"Homo sapiens"
"CHEMBL2151177"	"COc1cc(Nc2nc3c(c(Cc4ccccc4)n2)CN(CCO)CC3)ccc1-n1cnc(C)c1"	98.09	"Homo sapiens"
"CHEMBL2216830"	"C=CC(=O)Nc1cccc(CN2C(=O)N(c3c(Cl)c(OC)cc(OC)c3Cl)Cc3cnc(NCCCCN(CC)CC)nc32)c1"	98.0	"Homo sapiens"
"CHEMBL2152915"	"CO[C@H]1CC[C@]2(CC1)Cc1ccc(-c3cc(Cl)cc(C#N)c3)cc1C21N=C(C)C(N)=N1"	97.91	"Homo sapiens"
"CHEMBL2059862"	"Cc1ccc(-c2ncc(C)n2C)cc1NC(=O)c1ccc(OCc2ccccn2)cc1"	97.81	"Homo sapiens"
"CHEMBL1778646"	"CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(Cl)c1"	97.32	"Homo sapiens"
"CHEMBL202626"	"O=C(Nc1ccccc1F)NC1N=C(c2ccccc2)c2ccccc2NC1=O"	97.38	"Homo sapiens"
"CHEMBL2165055"	"CO[C@H]1CN(CCn2c(=O)ccc3ccc(C#N)cc32)CC[C@H]1NCc1ccc2c(n1)NC(=O)CO2"	46.55	"Homo sapiens"
"CHEMBL1916288"	"Cc1nn(-c2ccc(F)cc2)c(NS(=O)(=O)c2ccc(C#N)cc2)c1C(=O)N[C@@H](C)C(C)(C)C"	95.63	"Homo sapiens"
"CHEMBL2059378"	"CCNC(=O)c1cc2c(-n3ccc(C(F)(F)F)n3)c(-c3cncc(-c4n[nH]c(=O)o4)c3)cnc2[nH]1"	95.63	"Homo sapiens"
"CHEMBL2152920"	"CCC#Cc1cncc(-c2ccc3c(c2)C2(N=C(C)C(N)=N2)[C@]2(CC[C@H](OC)CC2)C3)c1"	96.17	"Homo sapiens"
"CHEMBL1689128"	"C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccc(Cl)cc1"	98.13	"Homo sapiens"
"CHEMBL2331753"	"Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(O)c(Oc4cccc(C(F)(F)F)c4)c3)C2)c(=O)[nH]c1=O"	98.61	"Homo sapiens"
"CHEMBL1320158"	"C/C=C/c1ccc(Oc2nnnn2-c2ccc(C(N)=O)cc2)c(OC)c1"	97.32	"Homo sapiens"
"CHEMBL2337982"	"O=C(CN1CCN(CCC2CCOCC2)CC1)NC12CC3CC(CC(C3)C1)C2"	47.12	"Homo sapiens"
"CHEMBL521815"	"CN1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1"	71.05	"Homo sapiens"
"CHEMBL1789186"	"N#Cc1cc(F)c(Cl)cc1O[C@H](CCN)c1ccccc1"	71.05	"Homo sapiens"
"CHEMBL1951074"	"COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=S)NCC(=O)O"	69.12	"Homo sapiens"
"CHEMBL2031227"	"Cc1ccc(NC(=O)c2ccc(C#N)cc2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O"	68.13	"Homo sapiens"
"CHEMBL421236"	"C[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)NC1C(=O)N(C)c2ccccc2-c2ccccc21"	99.01	"Homo sapiens"
"CHEMBL517"	"CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C"	33.39	"Homo sapiens"
"CHEMBL272705"	"C[C@H](CO)Nc1nc(SCc2ccco2)nc2[nH]c(=O)sc12"	98.4	"Homo sapiens"
"CHEMBL165330"	"CC(O)(C(=O)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)C(F)(F)F"	62.94	"Homo sapiens"
"CHEMBL472524"	"CCNC(=O)Nc1nc2cc(-c3cccnc3)ccc2[nH]1"	98.21	"Homo sapiens"
"CHEMBL451"	"CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1"	97.71	"Homo sapiens"
"CHEMBL1515178"	"CCn1cc(CNC(=O)c2cc(-c3ccc(C)cc3)nc3ccc(Br)cc23)c(C)n1"	99.89	"Homo sapiens"
"CHEMBL1276308"	"CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C"	99.85	"Homo sapiens"
"CHEMBL426823"	"CCOc1nc2ccc(OCCC3CCN(c4ccc(C)nn4)CC3)cc2o1"	99.72	"Homo sapiens"
"CHEMBL108922"	"CCO/N=C/c1ccc(OCCC2CCN(c3ccc(C)nn3)CC2)cc1"	99.72	"Homo sapiens"
"CHEMBL2208427"	"COc1cc(C(=O)NC[C@@H](O)CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)ccc1N"	99.68	"Homo sapiens"
"CHEMBL2313227"	"COCCN(c1cccnc1)P(=O)(c1ccccc1)c1ccccc1"	91.28	"Homo sapiens"
"CHEMBL422649"	"CC(O)(C(=O)Nc1cccc(S(=O)(=O)c2ccccc2)c1)C(F)(F)F"	90.91	"Homo sapiens"
"CHEMBL570015"	"COc1cccc(Nc2c(C(N)=O)cnc3c(C)cc(S(=O)(=O)c4cccc(C(=O)N(C)C)c4)cc23)c1"	98.51	"Homo sapiens"
"CHEMBL219046"	"O=C(O)c1c(O)c(Cc2ccc(Cl)cc2)nc2c3c(ccc12)CCCC3"	99.93	"Homo sapiens"
"CHEMBL13485"	"CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(Cl)cc32)c1C"	89.49	"Homo sapiens"
"CHEMBL1210207"	"CCOc1cc(CN2CCC(NC(=O)c3cncc(C)c3)CC2)cc(OCC)c1-c1ccc(F)cc1"	98.51	"Homo sapiens"
"CHEMBL2179285"	"Cc1cn([C@H]2CCCN([C@H](CC3CCOCC3)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O"	89.27	"Homo sapiens"
"CHEMBL8809"	"CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC"	89.05	"Homo sapiens"
"CHEMBL2335892"	"COCCC(=O)NC(C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1"	98.61	"Homo sapiens"
"CHEMBL1916082"	"CCC(CC)NC(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1"	98.61	"Homo sapiens"
"CHEMBL1473"	"CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C"	98.09	"Homo sapiens"
"CHEMBL2171041"	"CN(C)c1ccccc1S(=O)(=O)NC(=O)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1"	98.25	"Homo sapiens"
"CHEMBL1797387"	"Cc1onc(-c2c(Cl)cccc2Cl)c1NC(=O)OCc1c(F)cccc1Cl"	99.8	"Homo sapiens"
"CHEMBL1387923"	"O=C(Nc1cccc(Cl)c1)Nc1nnc(-c2ccncc2)s1"	99.8	"Homo sapiens"
"CHEMBL2349321"	"CC(C)C[C@H](CO)Nc1nc(SCc2ccccc2)nc2[nH]c(=O)sc12"	99.8	"Homo sapiens"
"CHEMBL1916260"	"CCC(CC)NC(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)C1CCCC1"	99.78	"Homo sapiens"
"CHEMBL1537460"	"COc1ccccc1C(=O)Nc1ccc(Cc2ccncc2)cc1"	99.76	"Homo sapiens"
"CHEMBL1778645"	"CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(C)c1"	99.71	"Homo sapiens"
"CHEMBL510386"	"O=C(Nc1ccc(Cl)c(C(=O)Nc2cccnc2)c1)c1cccc(C(F)(F)F)c1"	99.7	"Homo sapiens"
"CHEMBL1921925"	"C[C@@](C(=O)O[C@H]1C[N+]2(CCCc3cc4ccccc4s3)CCC1CC2)(c1ccccc1)N1CCCCC1"	99.68	"Homo sapiens"
"CHEMBL103667"	"Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1"	99.66	"Homo sapiens"
"CHEMBL1358402"	"C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C"	84.0	"Homo sapiens"
"CHEMBL461572"	"O=C(Nc1ccc(Cl)c(C(=O)Nc2cncs2)c1)c1cccc(Cl)c1"	99.8	"Homo sapiens"
"CHEMBL48966"	"c1ccc2[nH]c(CCc3nc4ccccc4[nH]3)nc2c1"	84.0	"Homo sapiens"
"CHEMBL1957369"	"N#Cc1c(-c2ccc(-c3ccccc3Cl)cc2)nc2ccncc2c1O"	99.92	"Homo sapiens"
"CHEMBL453"	"Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C"	91.28	"Homo sapiens"
"CHEMBL1240967"	"CC(C)(Cc1cccc(CC(=O)NCc2cccc(-c3ccc(O)cc3)c2)c1)NC[C@H](O)c1ccc(O)c(NS(C)(=O)=O)c1"	99.47	"Homo sapiens"
"CHEMBL1957848"	"O=c1cc(N2CCOCC2)nc2n(Cc3cccc(Cl)c3)ccn12"	89.91	"Homo sapiens"
"CHEMBL1090941"	"CCCCCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O"	88.82	"Homo sapiens"
"CHEMBL1824029"	"CC(O)c1ccc2c(c1)N(CCN1CCC(NCc3ccc4c(n3)NC(=O)CO4)CC1)C(=O)CO2"	88.82	"Homo sapiens"
"CHEMBL2069623"	"Nc1ncnc2c1c(COc1cccc(Cl)c1)nn2C1CCOCC1"	95.23	"Homo sapiens"
"CHEMBL2177906"	"NC1=NC(c2cccc(-c3cncnc3)c2)(c2ccnc(C(F)(F)F)c2)c2cccc(F)c21"	95.43	"Homo sapiens"
"CHEMBL2207225"	"COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)Cc1ccnc(F)c1"	94.56	"Homo sapiens"
"CHEMBL1766081"	"Cc1ncccc1Oc1ncnc(OC2CCN(C(=O)OC(C)C)CC2)c1C"	99.21	"Homo sapiens"
"CHEMBL1689109"	"O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)c2ccccc2)CC1"	96.17	"Homo sapiens"
"CHEMBL2"	"COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC"	96.0	"Homo sapiens"
"CHEMBL462133"	"Cc1ncc(NC(=O)c2cc(NC(=O)c3cccc(Cl)c3)ccc2Cl)s1"	99.8	"Homo sapiens"
"CHEMBL212777"	"Cc1ccc2c(c1)c(-c1ccnc3cc(Cl)ccc13)c(C)n2CC(=O)O"	99.82	"Homo sapiens"
"CHEMBL1221681"	"O=c1[nH]c2c(O)ccc([C@@H](O)CN[C@H]3CCC[C@@H]3OCc3ccccc3)c2s1"	93.1	"Homo sapiens"
"CHEMBL479848"	"CCOc1cc2ncc(C(N)=O)c(Nc3cc(F)ccc3F)c2cc1N1CCN(C)CC1"	92.64	"Homo sapiens"
"CHEMBL2331754"	"Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(CO)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O"	92.64	"Homo sapiens"
"CHEMBL2338405"	"CC(C)(C)NC(=O)NCCN1CCN(CC(=O)Nc2cc(Cl)cc(Cl)c2)CC1"	94.79	"Homo sapiens"
"CHEMBL1934418"	"Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCSCC2)cc1"	94.68	"Homo sapiens"
"CHEMBL235357"	"O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(O[C@@H]2CCCNC2)ccc1Cl"	94.56	"Homo sapiens"
"CHEMBL2180024"	"CC1=NC(c2ccc(F)cc2)(c2cccc(-c3cccnc3)c2)N=C1N"	95.12	"Homo sapiens"
"CHEMBL1771"	"COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1"	98.64	"Homo sapiens"
"CHEMBL480027"	"CC(C)Oc1cc2ncc(C(N)=O)c(Nc3cccc(Cl)c3F)c2cc1N1CCN(C)CC1"	95.12	"Homo sapiens"
"CHEMBL2165178"	"CCN(Cc1cccc2ccccc12)c1cc(N2CCOCC2)nc(=O)[nH]1"	96.42	"Homo sapiens"
"CHEMBL521262"	"COc1cc2c(Nc3cccc(Cl)c3Cl)c(C(N)=O)cnc2cc1NCCN(C)C"	94.56	"Homo sapiens"
"CHEMBL1652621"	"Cc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CCC(=O)N3)oc2ccccc12"	94.56	"Homo sapiens"
"CHEMBL2207599"	"COc1cc(OC)c(S(=O)(=O)N(c2ccccc2)c2ccccc2)cc1NC(=O)CCC(=O)O"	90.72	"Homo sapiens"
"CHEMBL1762538"	"Cc1ccc(CO)cc1N(C)c1ccnc(Nc2cc(N3CCCOCC3)cc(N3CCOCC3)c2)n1"	94.44	"Homo sapiens"
"CHEMBL2152523"	"c1ccc([C@H]([C@@H](c2ccccc2)N2CCCCC2)N2CCCCC2)cc1"	93.94	"Homo sapiens"
"CHEMBL2147569"	"C[C@]12Cc3cnn(-c4ccc(F)cc4)c3C=C1CC[C@@]2(O)CCc1ccc(F)cc1C(N)=O"	96.79	"Homo sapiens"
"CHEMBL1957367"	"N#CCOc1ccccc1-c1ccc(-c2nc3ccncc3c(O)c2C#N)cc1"	99.89	"Homo sapiens"
"CHEMBL1778612"	"O=C(O)COc1ccc([N+](=O)[O-])cc1-c1ccccc1"	99.59	"Homo sapiens"
"CHEMBL2335884"	"c1cc(-c2ccc3nc(Nc4ccc(OCCN5CCCC5)cc4)ncc3c2)ccn1"	97.2	"Homo sapiens"
"CHEMBL88712"	"O=C(O)[C@@H](c1ccc(OCc2ccc3ccccc3n2)cc1)C1CCCC1"	99.85	"Homo sapiens"
"CHEMBL2312918"	"CCCN(c1ccon1)P(=O)(c1ccccc1)c1ccccc1"	96.26	"Homo sapiens"
"CHEMBL2178934"	"NC(=O)c1cncc(-c2ccc([C@H]3CC[C@H](CCO)CC3)cc2)n1"	97.2	"Homo sapiens"
"CHEMBL300138"	"Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21"	99.83	"Homo sapiens"
"CHEMBL1972466"	"Cc1cc(C(C)Nc2ccccc2)c2nc(N3CCOCC3)cc(=O)n2c1"	94.68	"Homo sapiens"
"CHEMBL2208423"	"N#Cc1cccc(C(=O)NC[C@@H](O)CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)c1"	93.53	"Homo sapiens"
"CHEMBL1645107"	"Nc1nc2ccc(-c3ccncc3)cc2s1"	88.11	"Homo sapiens"
"CHEMBL2030393"	"O=c1[nH]c([C@@H]2CCCN2)nc2c1oc1ccc(Br)cc12"	94.9	"Homo sapiens"
"CHEMBL1950848"	"CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccccc2F)C1)C1CCCCC1"	73.81	"Homo sapiens"
"CHEMBL1542"	"Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12"	67.63	"Homo sapiens"
"CHEMBL2062580"	"CC(=O)Nc1ccc2c(c1)c(-c1cc(NC3CC3)n3ncc(C#N)c3n1)cn2C"	98.64	"Homo sapiens"
"CHEMBL1944694"	"COc1ccccc1CCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1"	95.53	"Homo sapiens"
"CHEMBL481807"	"CCOc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1N1CCN(CC)CC1"	95.43	"Homo sapiens"
"CHEMBL114"	"CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1"	98.86	"Homo sapiens"
"CHEMBL1831130"	"COc1ccc2nc(C)cc(N3CC(CNC(=O)C4CC4)OC3=O)c2c1"	67.63	"Homo sapiens"
"CHEMBL1650726"	"Cc1cc(Nc2nc(O[C@@H](C)c3ncc(F)cn3)ncc2Cl)n[nH]1"	75.12	"Homo sapiens"
"CHEMBL1813048"	"CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(OC(F)(F)F)cc4)CC3)n2)c1C"	98.81	"Homo sapiens"
"CHEMBL571"	"CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1"	98.73	"Homo sapiens"
"CHEMBL379866"	"CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)ccc3F)cn12"	81.36	"Homo sapiens"
"CHEMBL1213082"	"Cc1ccccc1-n1c(Cn2cnc3c(N)ncnc32)nc2cccc(C)c2c1=O"	98.64	"Homo sapiens"
"CHEMBL400585"	"O=C(O)COn1c(-c2ccccc2)nc2ccc([N+](=O)[O-])cc21"	98.61	"Homo sapiens"
"CHEMBL12"	"CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21"	98.61	"Homo sapiens"
"CHEMBL2179269"	"Cc1cn([C@H]2CCCN([C@H](C)c3ccc(C(=O)O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O"	98.44	"Homo sapiens"
